ID (2.5Hz), Container1 X, Container1 Y, Container2 X, Container2 Y, Container3 X, Container3 Y, Container4 X, Container4 Y, Container5 X, Container5 Y;
0, , , , , , , , , , ;
1, , , , , , , , , , ;
2, , , , , , , , , , ;
3, , , , , , , , , , ;
4, , , , , , , , , , ;
5, , , , , , , , , , ;
6, , , , , , , , , , ;
7, , , , , , , , , , ;
8, , , , , , , , , , ;
9, , , , , , , , , , ;
10, , , , , , , , , , ;
11, , , , , , , , , , ;
12, , , , , , , , , , ;
13, , , 0.943858623505, -0.284785419703, , , , , , ;
14, , , 0.586944639683, -0.0370016172528, , , , , , ;
15, , , 0.332341015339, 0.296358823776, , , , , , ;
16, , , 0.291464686394, 0.33038777113, , , , , , ;
17, , , 0.291464239359, 0.330553472042, , , , , , ;
18, , , 0.291462153196, 0.330265313387, , , , , , ;
19, , , 0.291541963816, 0.330527245998, , , , , , ;
20, , , 0.291430234909, 0.330311596394, , , , , , ;
21, , , 0.291580170393, 0.330441057682, , , , , , ;
22, 0.864824175835, -0.0771386474371, 0.291335254908, 0.330591142178, , , , , , ;
23, 0.651003241539, 0.306794732809, 0.29143679142, 0.33055973053, , , , , , ;
24, 0.640628516674, 0.335182249546, 0.291522353888, 0.330306887627, , , , , , ;
25, 0.640592634678, 0.335196495056, 0.291443914175, 0.330365300179, , , , , , ;
26, 0.640404880047, 0.335060149431, 0.291131138802, 0.330661296844, , , , , , ;
27, 0.640850365162, 0.335038423538, 0.291231393814, 0.330768555403, , , , , , ;
28, 0.640595853329, 0.335165113211, 0.291469305754, 0.3303129673, , , , , , ;
29, 0.640690624714, 0.335209608078, 0.291528850794, 0.330357342958, , , , , , ;
30, 0.640685558319, 0.335180342197, 0.291535943747, 0.330335795879, , , , , , ;
31, 0.640607297421, 0.335200726986, 0.291307747364, 0.330555737019, 1.04543888569, -0.128409326077, , , , ;
32, 0.640531420708, 0.335184782743, 0.291397720575, 0.330323278904, 0.958843231201, 0.224436655641, , , , ;
33, 0.640539467335, 0.335133075714, 0.291282474995, 0.330721706152, 0.969580709934, 0.281920015812, , , , ;
34, 0.640555918217, 0.335189312696, 0.291444689035, 0.330560147762, 0.963909268379, 0.286213964224, , , , ;
35, 0.640578091145, 0.3352021873, 0.291423082352, 0.330375701189, 0.963928043842, 0.286217778921, , , , ;
36, 0.640589952469, 0.335201382637, 0.291422665119, 0.330366611481, 0.963983893394, 0.286148041487, , , , ;
37, 0.641141653061, 0.335234344006, 0.291395634413, 0.330449938774, 0.963990211487, 0.286164283752, , , , ;
38, 0.640597879887, 0.335191696882, 0.291313976049, 0.33055332303, 0.963945150375, 0.286235481501, , , , ;
39, 0.640588581562, 0.335197895765, 0.291393637657, 0.330419689417, 0.963950335979, 0.286222457886, , , , ;
40, 0.640574634075, 0.335200309753, 0.291419237852, 0.330324143171, 0.96398639679, 0.286148428917, 0.918229937553, -0.166700139642, , ;
41, 0.6405159235, 0.335195839405, 0.291104674339, 0.330619782209, 0.963940322399, 0.28578543663, 0.530554175377, 0.0717823728919, , ;
42, 0.641064286232, 0.335256934166, 0.291353434324, 0.330345839262, 0.963828444481, 0.286148071289, 0.350494474173, 0.135267183185, , ;
43, 0.640564799309, 0.335193008184, 0.291530579329, 0.33032348752, 0.963949739933, 0.286191791296, , , 0.281615048647, 0.138754487038;
44, 0.640478134155, 0.335123062134, 0.291407316923, 0.330319702625, 0.963870167732, 0.286117166281, , , 0.280862182379, 0.13934969902;
45, 0.640586853027, 0.335194855928, 0.291395813227, 0.330431878567, 0.963982224464, 0.286179363728, , , 0.281737059355, 0.1386462152;
46, 0.640604913235, 0.33519116044, 0.291464924812, 0.330353975296, 0.96392673254, 0.286113739014, , , 0.281717538834, 0.138688609004;
47, 0.640591740608, 0.3351970613, 0.291446149349, 0.330325573683, 0.9639351964, 0.286240726709, , , 0.281689107418, 0.138691142201;
48, 0.640590369701, 0.335193365812, 0.291436702013, 0.330362260342, 0.963917016983, 0.28611433506, , , 0.281703323126, 0.138684436679;
49, 0.640575647354, 0.335129648447, 0.291386157274, 0.330333769321, 0.963893830776, 0.286070644855, , , 0.281546533108, 0.138771921396;
50, 0.640546858311, 0.335196256638, 0.291376560926, 0.330331385136, 0.963857114315, 0.286127895117, 0.961474955082, -0.226233050227, 0.281671971083, 0.138658642769;
51, 0.640583872795, 0.335126310587, 0.291120022535, 0.330626487732, 0.963877081871, 0.286052495241, 0.739418745041, 0.0465895868838, 0.281571120024, 0.138750910759;
52, 0.640466988087, 0.335121363401, 0.291257798672, 0.330522865057, 0.963853597641, 0.286106705666, 0.658452868462, 0.113270625472, 0.281657457352, 0.138652130961;
53, 0.640511453152, 0.335140287876, 0.291477292776, 0.330268681049, 0.963933348656, 0.28608840704, 0.690383136272, 0.100099265575, 0.280686169863, 0.138980016112;
54, 0.640623986721, 0.335179150105, 0.291472971439, 0.330275148153, 0.963991224766, 0.286178141832, 0.687883257866, 0.110530182719, 0.281503915787, 0.138764664531;
55, 0.64065849781, 0.3352034688, 0.291457444429, 0.33040830493, 0.963987886906, 0.28610560298, 0.687711596489, 0.110532000661, 0.281683534384, 0.138701707125;
56, 0.640604019165, 0.335177242756, 0.291386276484, 0.330448836088, 0.963926136494, 0.286096960306, 0.687767803669, 0.110678002238, 0.28135356307, 0.138819277287;
57, 0.640482664108, 0.335128307343, 0.291351765394, 0.330416291952, 0.963850080967, 0.286136686802, 0.687808454037, 0.110557466745, 0.281581073999, 0.138742387295;
