ID (2.5Hz), Container1 X, Container1 Y, Container2 X, Container2 Y, Container3 X, Container3 Y, Container4 X, Container4 Y, Container5 X, Container5 Y, Pen1 X, Pen1 Y, Pen2 X, Pen2 Y;
0, 0.777305662632, 0.386175334454, 0.280998498201, 0.209451436996, 0.556663274765, 0.355194687843, 0.489907771349, 0.139722824097, 1.17760264874, 0.304670095444, 0.93235117197, 0.356008708477, , ;
1, 0.776951014996, 0.386141479015, 0.2807982862, 0.209541648626, 0.55666321516, 0.355207502842, 0.489899098873, 0.139738246799, 1.17767190933, 0.304729759693, 0.932171225548, 0.355775475502, , ;
2, 0.777304768562, 0.386182665825, 0.280621469021, 0.209490358829, 0.556646108627, 0.355210393667, 0.489895105362, 0.139738515019, 1.17761945724, 0.304684221745, 0.932418584824, 0.356057733297, , ;
3, 0.777275145054, 0.386158585548, 0.280493795872, 0.209478437901, 0.556621909142, 0.35518860817, 0.489862889051, 0.139712661505, 1.17752182484, 0.304591357708, 0.932194828987, 0.355841159821, , ;
4, 0.777262032032, 0.386186510324, 0.280624568462, 0.209441393614, 0.55661803484, 0.355207443237, 0.489860028028, 0.139739319682, 1.17747056484, 0.304503649473, 0.932161986828, 0.355817645788, , ;
5, 0.777262926102, 0.386189252138, 0.280478775501, 0.209483727813, 0.556606531143, 0.355200350285, 0.489859431982, 0.139740332961, 1.17752659321, 0.304642260075, 0.932074189186, 0.356009155512, , ;
6, 0.777273595333, 0.386159569025, 0.28090390563, 0.209438353777, 0.55662381649, 0.355187624693, 0.489871263504, 0.139722332358, 1.17759776115, 0.304669588804, 0.932128071785, 0.355710148811, , ;
7, 0.777329385281, 0.386153042316, 0.280537188053, 0.209445118904, 0.556679069996, 0.355176448822, 0.489922910929, 0.139715835452, 1.17758619785, 0.304577857256, 0.932435870171, 0.355996400118, , ;
8, 0.777395248413, 0.386181414127, 0.280906021595, 0.209447354078, 0.556748747826, 0.355196028948, 0.48999196291, 0.139723911881, 1.17773079872, 0.304641455412, 0.932421267033, 0.355833053589, , ;
9, 0.777368724346, 0.386155933142, 0.280542105436, 0.209494635463, 0.55678242445, 0.355165421963, 0.489969015121, 0.139704272151, 0.803247451782, 0.218209460378, 0.93223285675, 0.356054097414, , ;
10, 0.777267575264, 0.386178553104, 0.280453205109, 0.209462076426, 0.556609272957, 0.355201631784, 0.489857822657, 0.139729693532, 0.677938997746, 0.205074638128, 0.932229697704, 0.356130719185, , ;
11, 0.777243614197, 0.386169612408, 0.28093868494, 0.209445133805, 0.556587576866, 0.355182945728, 0.48983964324, 0.139725714922, 0.73283046484, 0.20403572917, 0.932120501995, 0.355759948492, , ;
12, 0.777241528034, 0.386173576117, 0.280933886766, 0.209445714951, 0.556581556797, 0.355191171169, 0.489843398333, 0.13972902298, 0.730504691601, 0.207091644406, 0.931954741478, 0.355627477169, , ;
13, 0.777302384377, 0.386175751686, 0.280999571085, 0.209431126714, 0.556650340557, 0.355191230774, 0.489895224571, 0.139724075794, 0.730638325214, 0.207146808505, 0.932214140892, 0.355579108, , ;
14, 0.777320504189, 0.386170625687, 0.281011253595, 0.209427013993, 0.556673705578, 0.355183631182, 0.489921748638, 0.13973043859, 0.730686783791, 0.207173451781, 0.932345926762, 0.355909973383, , ;
15, 0.777323663235, 0.386162638664, 0.280809044838, 0.209410071373, 0.556680858135, 0.35518091917, 0.489920437336, 0.139713987708, 0.730833292007, 0.207256525755, 0.932363212109, 0.355888783932, , ;
16, 0.777333676815, 0.386155605316, 0.28057256341, 0.209606349468, 0.556694805622, 0.355140179396, 0.541210591793, 0.137523889542, 0.730852305889, 0.207253247499, 0.932391166687, 0.356129288673, , ;
17, 0.77730846405, 0.386170804501, 0.280928969383, 0.209491372108, 0.556648910046, 0.355191677809, 0.691065490246, 0.174656108022, 0.730620741844, 0.207335799932, 0.932226598263, 0.355642825365, , ;
