ID (2.5Hz), Container1 X, Container1 Y, Container2 X, Container2 Y, Container3 X, Container3 Y, Container4 X, Container4 Y, Container5 X, Container5 Y;
0, , , , , , , , , , ;
1, , , , , , , , , , ;
2, , , , , , , , , , ;
3, , , , , , , , , , ;
4, , , , , , , , , , ;
5, , , , , , , , , , ;
6, , , , , , , , , , ;
7, , , , , , , , , , ;
8, , , , , , , , , , ;
9, , , , , , , , , , ;
10, 0.918146908283, 0.0506756231189, , , , , , , , ;
11, 0.870153129101, 0.249029010534, , , , , , , , ;
12, 0.860472142696, 0.24884018302, , , , , , , , ;
13, 0.860507667065, 0.248806774616, , , , , , , , ;
14, 0.860642194748, 0.248780876398, , , , , , , , ;
15, 0.860511958599, 0.248811244965, , , , , , , , ;
16, 0.860505342484, 0.248809352517, , , , , , , , ;
17, 0.860513329506, 0.248807772994, , , , , , , , ;
18, 0.860514760017, 0.248815953732, 0.960885882378, -0.144725397229, , , , , , ;
19, 0.860467374325, 0.248807296157, , , 0.499000579119, 0.147653698921, , , , ;
20, 0.860445916653, 0.248814687133, , , 0.339938789606, 0.240035414696, , , , ;
21, 0.860484063625, 0.248802930117, , , 0.340015918016, 0.240057066083, , , , ;
22, 0.860520422459, 0.248816385865, , , 0.340059876442, 0.240063592792, , , , ;
23, 0.86051928997, 0.248816937208, , , 0.340053081512, 0.240048438311, , , , ;
24, 0.860496819019, 0.248810142279, , , 0.340034633875, 0.240067392588, , , , ;
25, 0.860410153866, 0.248812362552, , , 0.34000352025, 0.240063175559, , , , ;
26, 0.745761334896, 0.167717635632, , , 0.340006798506, 0.240039721131, , , , ;
27, 0.716310858727, 0.137828692794, , , 0.339995443821, 0.240080580115, , , , ;
28, 0.716365754604, 0.137776315212, , , 0.340070813894, 0.24003957212, , , , ;
29, 0.716380655766, 0.137795746326, , , 0.340103626251, 0.240067228675, , , , ;
30, 0.71635723114, 0.137788847089, , , 0.340069741011, 0.240053743124, , , , ;
31, 0.716348707676, 0.13780169189, , , 0.340063929558, 0.240059867501, , , , ;
32, 0.71632963419, 0.137790516019, 1.10652661324, -0.230059891939, 0.340036451817, 0.240038961172, 1.10624825954, -0.23092213273, , ;
33, 0.716310501099, 0.137804478407, , , 0.340271353722, 0.239730417728, , , , ;
34, 0.716306984425, 0.137770622969, , , 0.340014159679, 0.240050792694, 0.802102804184, 0.311362028122, , ;
35, 0.794776618481, 0.308611482382, , , 0.340041458607, 0.240060254931, 0.716418027878, 0.137683108449, , ;
36, 0.794827878475, 0.308593720198, , , 0.340083867311, 0.240047693253, 0.716456711292, 0.137653842568, , ;
37, 0.794707655907, 0.308603018522, , , 0.33998477459, 0.240067198873, 0.716367423534, 0.137680202723, , ;
38, 0.794746994972, 0.308594971895, , , 0.340019792318, 0.240049257874, 0.71637815237, 0.137661397457, , ;
