ID (2.5Hz), Container1 X, Container1 Y, Container2 X, Container2 Y, Container3 X, Container3 Y, Container4 X, Container4 Y, Container5 X, Container5 Y;
0, , , , , , , , , , ;
1, , , , , , , , , , ;
2, , , , , , , , , , ;
3, , , , , , , , , , ;
4, , , , , , , , , , ;
5, , , , , , , , , , ;
6, , , , , , , , , , ;
7, , , , , , , , , , ;
8, , , , , , , , , , ;
9, 0.999162375927, 0.00651659304276, , , , , , , , ;
10, 0.980096817017, 0.349303603172, , , , , , , , ;
11, 0.952958524227, 0.376472651958, , , , , , , , ;
12, 0.953751623631, 0.376031279564, , , , , , , , ;
13, 0.953789114952, 0.376035660505, , , , , , , , ;
14, 0.95376688242, 0.376031279564, , , , , , , , ;
15, 0.953797757626, 0.376029878855, , , , , , , , ;
16, 0.953787922859, 0.376030415297, , , , , , , , ;
17, 0.953797996044, 0.376030951738, , , , , , , , ;
18, 0.953779518604, 0.37603276968, 0.900327682495, -0.077611759305, , , , , , ;
19, 0.951379239559, 0.374605894089, 0.804045259953, 0.300449341536, , , , , , ;
20, 0.953684329987, 0.376225739717, 0.817265868187, 0.344314843416, , , , , , ;
21, 0.953745126724, 0.376025348902, 0.817895233631, 0.344272911549, , , , , , ;
22, 0.953743100166, 0.376055330038, 0.817919492722, 0.344408214092, , , , , , ;
23, 0.953741908073, 0.376053899527, 0.817973017693, 0.344483315945, , , , , , ;
24, 0.953780770302, 0.376038104296, 0.817977488041, 0.344448328018, , , , , , ;
25, 0.953802704811, 0.376058250666, 0.818030416965, 0.344242572784, , , , , , ;
26, 0.953772723675, 0.376031696796, 0.81794655323, 0.344275772572, , , , , , ;
27, 0.953764200211, 0.376048475504, 0.817918479443, 0.344294250011, 0.668910861015, -0.000977613031864, , , , ;
28, 0.953760027885, 0.376031666994, 0.818057477474, 0.344225645065, 0.366694748402, 0.241929516196, , , , ;
29, 0.95373994112, 0.376064091921, 0.817913651466, 0.344399422407, 0.332926094532, 0.259613990784, , , , ;
30, 0.953944385052, 0.376069128513, 0.818081140518, 0.344336569309, 0.333158195019, 0.259609490633, , , , ;
31, 0.95384067297, 0.37603700161, 0.817978441715, 0.34456756711, 0.333025872707, 0.259573727846, , , , ;
32, 0.953711330891, 0.376056224108, 0.817946255207, 0.344507664442, 0.333163201809, 0.259642541409, , , , ;
33, 0.95400673151, 0.375826746225, 0.817809283733, 0.344410955906, 0.332852095366, 0.259601145983, , , , ;
34, 0.953688561916, 0.37603533268, 0.817848682404, 0.344389617443, 0.332875341177, 0.259611397982, , , , ;
35, 0.953773021698, 0.376031070948, 0.817889750004, 0.344332009554, 0.332964420319, 0.259607106447, 1.09193789959, -0.208730280399, 1.09224259853, -0.208487138152;
36, 0.953854858875, 0.376031160355, 0.818171322346, 0.344101130962, 0.333034217358, 0.25960084796, 0.713888883591, 0.00743725989014, , ;
