ID (2.5Hz), Table X, Table Y, Connector1 X, Connector1 Y, Connector2 X, Connector2 Y, Connector3 X, Connector3 Y, Connector4 X, Connector4 Y, Leg1 X, Leg1 Y, Leg2 X, Leg2 Y, Leg3 X, Leg3 Y, Leg4 X, Leg4 Y;
0, , , , , , , , , , , , , , , , , , ;
1, , , , , , , , , , , , , , , , , , ;
2, , , , , , , , , , , , , , , , , , ;
3, , , , , , , , , , , , , , , , , , ;
4, , , , , , , , , , , , , , , , , , ;
5, , , , , , , , , , , , , , , , , , ;
6, , , , , , , , , , , , , , , , , , ;
7, , , , , , , , , , , , , , , , , , ;
8, , , , , , , , , , , , , , , , , , ;
9, , , , , , , , , , , , , , , , , 0.80304056406, -0.274951905012;
10, , , , , , , , , , , , , , , , , 0.37703332305, 0.17089304328;
11, , , , , , , , , , , , , , , , , 0.345295667648, 0.188362747431;
12, , , , , , , , , , , , , , , , , 0.344425290823, 0.189144641161;
13, , , , , , , , , , , , , , , , , 0.344497472048, 0.1891566962;
14, , , , , , , , , , , , , , , , , 0.34445014596, 0.189131483436;
15, , , , , , , , , , , , , , , , , 0.344442218542, 0.189175367355;
16, , , , , , , , , , , , , , , 1.13484120369, -0.560049772263, 0.313780665398, 0.223383754492;
17, , , , , , , , , , , , , , , 0.931582152843, -0.435426801443, 0.312100380659, 0.22586260736;
18, , , , , , , , , , , , , , , 0.685942053795, -0.240691766143, 0.311474353075, 0.226166889071;
19, , , , , , , , , , , , , , , 0.479493737221, 0.103668518364, 0.311054259539, 0.226736724377;
20, , , , , , , , , , , , , , , 0.362702310085, 0.204246252775, 0.310682862997, 0.227409482002;
21, , , , , , , , , , , , , , , 0.360386431217, 0.205234348774, 0.310053795576, 0.229428365827;
22, , , , , , , , , , , , , , , 0.360386103392, 0.205234214664, 0.307543992996, 0.231804564595;
23, , , , , , , , , , , , , , , 0.360373497009, 0.205194041133, 0.307452201843, 0.232133090496;
24, , , , , , , , , , , 1.1127512455, -0.370583027601, , , 0.360404163599, 0.205263599753, 0.307082176208, 0.232117205858;
25, , , , , , , , , , , 0.775682866573, -0.254817128181, , , 0.360290020704, 0.205141991377, 0.307069033384, 0.232353568077;
26, , , , , , , , , , , 0.480354428291, 0.126753330231, , , 0.360556304455, 0.205273792148, 0.307015538216, 0.232533439994;
27, , , , , , , , , , , , , , , 0.360000371933, 0.205705553293, 0.306907683611, 0.232655525208;
28, , , , , , , , , , , 0.371501475573, 0.219721987844, , , , , 0.307060778141, 0.23283213377;
29, , , , , , , , , , , 0.370243817568, 0.219069629908, , , , , 0.306988745928, 0.232937186956;
30, , , , , , , , , , , , , , , , , 0.306957095861, 0.233044475317;
31, , , , , , , , , , , , , , , , , 0.306844770908, 0.2331174016;
