ID (2.5Hz), Table X, Table Y, Connector1 X, Connector1 Y, Connector2 X, Connector2 Y, Connector3 X, Connector3 Y, Connector4 X, Connector4 Y, Leg1 X, Leg1 Y, Leg2 X, Leg2 Y, Leg3 X, Leg3 Y, Leg4 X, Leg4 Y;
0, 0.889679193497, 0.159635797143, 1.0396791935, 0.249635797143, 0.739679193497, 0.249635797143, 0.739679193497, 0.069635797143, 1.0396791935, 0.069635797143, 0.444756627083, 0.238261520863, 0.345418214798, 0.235121905804, 0.364897787571, 0.219117507339, 0.328398048878, 0.242046505213;
1, 0.890238583088, 0.159612759948, 1.04023858309, 0.249612759948, 0.740238583088, 0.249612759948, 0.740238583088, 0.0696127599478, 1.04023858309, 0.0696127599478, 0.444848001003, 0.238640069962, 0.345539003611, 0.235218852758, 0.364782810211, 0.219034552574, 0.328416496515, 0.24205571413;
2, 0.890180826187, 0.15959303081, 1.04018082619, 0.24959303081, 0.740180826187, 0.24959303081, 0.740180826187, 0.0695930308104, 1.04018082619, 0.0695930308104, 0.444793999195, 0.238659888506, 0.345454961061, 0.235283181071, 0.364891499281, 0.219124779105, 0.328362554312, 0.242070928216;
3, 0.890175998211, 0.159617990255, 1.04017599821, 0.249617990255, 0.740175998211, 0.249617990255, 0.740175998211, 0.0696179902554, 1.04017599821, 0.0696179902554, 0.444888174534, 0.238672465086, 0.345318883657, 0.234887287021, 0.364820659161, 0.219094708562, 0.328367233276, 0.242061972618;
4, 0.890122592449, 0.159556850791, 1.04012259245, 0.249556850791, 0.740122592449, 0.249556850791, 0.740122592449, 0.069556850791, 1.04012259245, 0.069556850791, 0.444882124662, 0.238754868507, 0.345324009657, 0.235039636493, 0.364883601665, 0.219104170799, 0.328348457813, 0.242053851485;
5, 0.890139579773, 0.159152120352, 1.04013957977, 0.249152120352, 0.740139579773, 0.249152120352, 0.740139579773, 0.0691521203518, 1.04013957977, 0.0691521203518, 0.445003569126, 0.238880708814, 0.345389604568, 0.234843209386, 0.364890426397, 0.219103142619, 0.328376948833, 0.242061778903;
6, 0.890199899673, 0.159589409828, 1.04019989967, 0.249589409828, 0.740199899673, 0.249589409828, 0.740199899673, 0.0695894098282, 1.04019989967, 0.0695894098282, 0.445259153843, 0.237836569548, 0.345241069794, 0.235116258264, 0.364756733179, 0.219126835465, 0.328378975391, 0.242067873478;
7, 0.89015609026, 0.159140318632, 1.04015609026, 0.249140318632, 0.74015609026, 0.249140318632, 0.74015609026, 0.0691403186321, 1.04015609026, 0.0691403186321, 0.444945454597, 0.238689541817, 0.345373719931, 0.235107168555, 0.364762216806, 0.219227463007, 0.328384190798, 0.24204608798;
8, 0.890151977539, 0.159570857882, 1.04015197754, 0.249570857882, 0.740151977539, 0.249570857882, 0.740151977539, 0.0695708578825, 1.04015197754, 0.0695708578825, 0.444905549288, 0.238540738821, 0.345343202353, 0.235108748078, 0.364926218987, 0.219119459391, 0.328449934721, 0.242083474994;
9, 0.890190541744, 0.159504428506, 1.04019054174, 0.249504428506, 0.740190541744, 0.249504428506, 0.740190541744, 0.0695044285059, 1.04019054174, 0.0695044285059, 0.446603864431, 0.240159898996, 0.345371156931, 0.235077247024, 0.364694684744, 0.219062969089, 0.328359127045, 0.242030546069;
10, 0.890288889408, 0.159200996161, 1.04028888941, 0.249200996161, 0.740288889408, 0.249200996161, 0.740288889408, 0.0692009961605, 1.04028888941, 0.0692009961605, 0.466663658619, 0.240477219224, 0.345128446817, 0.235433235765, 0.364479422569, 0.2192491889, 0.328193753958, 0.242181882262;
11, 0.890232086182, 0.159906387329, 1.04023208618, 0.249906387329, 0.740232086182, 0.249906387329, 0.740232086182, 0.0699063873291, 1.04023208618, 0.0699063873291, 0.344198852777, 0.235243856907, 0.91935646534, 0.162563234568, 0.364479422569, 0.2192491889, 0.328167766333, 0.242348641157;
12, 0.890520632267, 0.159487634897, 1.04052063227, 0.249487634897, 0.740520632267, 0.249487634897, 0.740520632267, 0.0694876348972, 1.04052063227, 0.0694876348972, 0.344125896692, 0.235267713666, 0.954646408558, 0.15721437335, 0.364479422569, 0.2192491889, 0.328167766333, 0.242348641157;
