ID (2.5Hz), Table X, Table Y, Connector1 X, Connector1 Y, Connector2 X, Connector2 Y, Connector3 X, Connector3 Y, Connector4 X, Connector4 Y, Leg1 X, Leg1 Y, Leg2 X, Leg2 Y, Leg3 X, Leg3 Y, Leg4 X, Leg4 Y;
0, , , , , , , , , , , , , , , , , , ;
1, , , , , , , , , , , , , , , , , , ;
2, , , , , , , , , , , , , , , , , , ;
3, , , , , , , , , , , , , , , , , , ;
4, , , , , , , , , , , , , , , , , , ;
5, , , , , , , , , , , , , , , , , , ;
6, , , , , , , , , , , , , , , , , , ;
7, , , , , , , , , , , , , , , , , , ;
8, , , , , , , , , , , , , , , , , , ;
9, , , , , , , , , , , , , , , , , , ;
10, , , , , , , , , , , , , , , , , , ;
11, , , , , , , , , , , , , , , , , , ;
12, , , , , , , , , , , , , , , 0.973579287529, -0.397042155266, , ;
13, , , , , , , , , , , , , , , 0.55241638422, -0.0402581319213, , ;
14, , , , , , , , , , , , , , , 0.295974612236, 0.144806176424, , ;
15, , , , , , , , , , , , , , , 0.273096293211, 0.154410138726, , ;
16, , , , , , , , , , , , , , , 0.273286491632, 0.154379352927, , ;
17, , , , , , , , , , , , , , , 0.273254930973, 0.154457315803, , ;
18, , , , , , , , , , , 1.14242291451, -0.449179381132, , , 0.273200273514, 0.154436603189, , ;
19, , , , , , , , , , , 0.888000190258, -0.366339921951, , , 0.27314516902, 0.154435247183, , ;
20, , , , , , , , , , , 0.501778960228, 0.0142181981355, , , 0.273141682148, 0.154431730509, , ;
21, , , , , , , , , , , 0.359929084778, 0.207803279161, , , 0.273188531399, 0.154427811503, , ;
22, , , , , , , , , , , 0.331745803356, 0.219402372837, , , 0.273099094629, 0.154406458139, , ;
23, , , , , , , , , , , 0.331795960665, 0.21917155385, , , 0.273120462894, 0.154371201992, , ;
24, , , , , , , , , , , 0.331936836243, 0.219012454152, , , 0.273210525513, 0.154429793358, , ;
25, , , , , , , , , , , 0.332098931074, 0.218812018633, , , 0.273210883141, 0.154238209128, , ;
26, , , , , , , , , , , 0.332075744867, 0.219599694014, , , 0.273247182369, 0.154428169131, 1.03324949741, -0.267613649368;
27, , , , , , , , , , , 0.331933617592, 0.219525948167, , , 0.273266285658, 0.15456917882, 1.06406760216, 0.165736749768;
28, , , , , , , , , , , 0.332024127245, 0.218744575977, , , 0.273308455944, 0.154261097312, 1.07388842106, 0.219659909606;
29, , , , , , , , , , , 0.331835061312, 0.219219982624, , , 0.273310422897, 0.154413208365, 1.0738158226, 0.219823881984;
30, , , , , , , , , , , 0.33205550909, 0.218917921185, , , 0.273271888494, 0.154463842511, 1.07375621796, 0.219846501946;
31, , , , , , , , , , , 0.33194488287, 0.218905806541, , , 0.273198187351, 0.15442968905, 1.07367694378, 0.2197881639;
