ID (2.5Hz), Container1 X, Container1 Y, Container2 X, Container2 Y, Container3 X, Container3 Y, Container4 X, Container4 Y, Container5 X, Container5 Y, Pen1 X, Pen1 Y, Pen2 X, Pen2 Y;
0, , , , , , , , , , , , , , ;
1, , , , , , , , , , , , , , ;
2, , , , , , , , , , , , , , ;
3, , , , , , , , , , , , , , ;
4, , , , , , , , , , , , , , ;
5, , , , , , , , , , , , , , ;
6, , , , , , , , , , , , , , ;
7, , , , , , , , , , , , , , ;
8, , , , , , , , , , , , , , ;
9, 1.11879479885, -0.106174118817, , , , , , , , , , , , ;
10, 1.07246696949, 0.33375877142, , , , , , , , , , , , ;
11, 1.08217310905, 0.37916508317, , , , , , , , , , , , ;
12, 1.08214557171, 0.379173874855, , , , , , , , , , , , ;
13, 1.08218240738, 0.379168540239, , , , , , , , , , , , ;
14, 1.08214855194, 0.379187017679, , , , , , , , , , , , ;
15, 1.08215761185, 0.379181057215, , , , , , , , , , , , ;
16, 1.08214259148, 0.379182904959, , , 1.12861609459, -0.145742043853, , , , , , , , ;
17, 1.0821737051, 0.379179120064, , , 0.750737249851, 0.250057250261, , , , , , , , ;
18, 1.08218002319, 0.379170328379, , , 0.687351167202, 0.344723492861, , , , , , , , ;
19, 1.08226406574, 0.379192739725, , , 0.687438070774, 0.344737380743, , , , , , , , ;
20, 1.08224868774, 0.379157245159, , , 0.687420427799, 0.344719856977, , , , , , , , ;
21, 1.08311402798, 0.379216164351, , , 0.687331557274, 0.344735682011, , , , , , , , ;
22, 1.08211648464, 0.379191219807, , , 0.687295079231, 0.344743698835, , , , , , , , ;
23, 1.08214271069, 0.379185467958, , , 0.687317252159, 0.344731360674, , , , , , , , ;
24, 1.08221518993, 0.379183530807, , , 0.687398374081, 0.344731807709, 0.959724009037, 0.0208712369204, , , , , , ;
25, 1.08219254017, 0.379176527262, , , 0.687343657017, 0.344738543034, 0.853544592857, 0.317048788071, , , , , , ;
26, 1.08223772049, 0.379178702831, , , 0.68740260601, 0.344723552465, 0.828135192394, 0.34562215209, , , , , , ;
27, 1.08219981194, 0.379193842411, , , 0.687375247478, 0.344741612673, 0.828083276749, 0.345631062984, , , , , , ;
28, 1.08220815659, 0.379191547632, , , 0.687381386757, 0.344747900963, 0.828138113022, 0.345782279968, , , , , , ;
29, 1.08218634129, 0.3792091012, , , 0.687378942966, 0.344741106033, 0.827785134315, 0.345766872168, , , , , , ;
30, 1.08212685585, 0.379197388887, , , 0.687317013741, 0.344751387835, 0.827734351158, 0.345764696598, , , , , , ;
31, 1.08215546608, 0.379194110632, , , 0.687313735485, 0.344746261835, 0.82802093029, 0.345624685287, , , , , , ;
32, 1.08214068413, 0.379182219505, , , 0.68732124567, 0.344738662243, 0.828026294708, 0.345628976822, , , 1.07732331753, 0.028702205047, , ;
33, 1.08214879036, 0.37919741869, , , 0.687334179878, 0.344747513533, 0.828042328358, 0.345631122589, , , 0.93968385458, 0.341549575329, , ;
34, 1.08219408989, 0.3791885674, , , 0.687372148037, 0.344743072987, 0.828073978424, 0.345630586147, , , 0.948795735836, 0.385560661554, , ;
35, 1.08214497566, 0.379199713469, , , 0.687337458134, 0.344747841358, 0.828035950661, 0.345646709204, , , , , , ;
36, 1.08220136166, 0.37919947505, , , 0.687370359898, 0.344744205475, 0.828069090843, 0.345636427402, , , , , , ;
37, 1.08216702938, 0.379192233086, , , 0.687350451946, 0.344757258892, 0.828184247017, 0.345821350813, , , , , , ;
38, 1.08215880394, 0.379199385643, , , 0.687346279621, 0.34474799037, 0.828122258186, 0.34573289752, , , , , , ;
39, 1.0821968317, 0.379186421633, , , 0.68736833334, 0.344753831625, 0.828064620495, 0.345630407333, , , , , , ;
40, 1.08319032192, 0.379237949848, , , 0.687345206738, 0.344747513533, 0.828047692776, 0.345634669065, , , , , , ;
41, 1.08214581013, 0.379204690456, , , 0.687320053577, 0.344745874405, 0.828086614609, 0.345735549927, , , , , , ;
42, 1.08217716217, 0.37919151783, , , 0.687339663506, 0.34472322464, 0.828107714653, 0.345707088709, , , , , 0.512014567852, 0.371183931828;
43, 1.08219742775, 0.379207640886, , , 0.687373161316, 0.344764202833, 0.828066706657, 0.34564781189, , , , , 0.51066339016, 0.37026143074;
44, 1.08229529858, 0.379181683064, , , 0.687454104424, 0.344732254744, 0.828141212463, 0.345626622438, , , , , 0.510758042336, 0.370239704847;
45, 1.0822429657, 0.379202783108, , , 0.68740606308, 0.344760894775, 0.828098893166, 0.345653086901, , , , , 0.510657787323, 0.370160847902;
46, 1.0831772089, 0.379245311022, , , 0.687352478504, 0.34473118186, 0.828061163425, 0.345628768206, , , , , 0.510666549206, 0.370227873325;
47, 1.08211576939, 0.379206120968, , , 0.687280297279, 0.344763189554, 0.827994585037, 0.346021443605, , , , , 0.510590851307, 0.37024050951;
48, 1.08211147785, 0.379210740328, , , 0.687298536301, 0.344747424126, 0.828076422215, 0.345724135637, 0.964935898781, -0.00478404341266, , , 0.510450184345, 0.370100468397;
49, 1.08214914799, 0.37919652462, , , 0.687333643436, 0.344744592905, 0.828030109406, 0.345645695925, 0.802718281746, 0.120688408613, , , 0.510645031929, 0.370242506266;
50, 1.08217203617, 0.379187703133, , , 0.687353432178, 0.344746977091, 0.828136503696, 0.345725983381, 0.80360865593, 0.129311695695, , , 0.510660588741, 0.370226979256;
51, 1.08220100403, 0.379216700792, , , 0.687380731106, 0.344776183367, 0.828154504299, 0.345753788948, 0.795930862427, 0.171457350254, , , 0.510744273663, 0.370240181684;
